wiki_name,clean_name,year,month,day
Elon_Musk,Elon Musk,1971,6,28
Larry_Ellison,Larry Ellison,1944,8,17
Mark_Zuckerberg,Mark Zuckerberg,1984,5,14
Jeff_Bezos,Jeff Bezos,1964,1,12
Larry_Page,Larry Page,1973,3,26
Sergey_Brin,Sergey Brin,1973,8,21
Bernard_Arnault,Bernard Arnault & family,1949,3,5
Steve_Ballmer,Steve Ballmer,1956,3,24
Warren_Buffett,Warren Buffett,1930,8,30
Jensen_Huang,Jensen Huang,1963,2,17
Michael_Dell,Michael Dell,1965,2,23
Rob_Walton,Rob Walton & family,1944,10,27
Jim_Walton,Jim Walton & family,1948,6,7
Amancio_Ortega,Amancio Ortega,1936,3,28
Michael_Bloomberg,Michael Bloomberg,1942,2,14
Alice_Walton,Alice Walton,1949,10,7
Bill_Gates,Bill Gates,1955,10,28
Mukesh_Ambani,Mukesh Ambani,1957,4,19
Carlos_Slim_Helu,Carlos Slim Helu & family,1940,1,28
Francoise_Bettencourt_Meyers,Francoise Bettencourt Meyers & family,1953,7,10
Julia_Koch,Julia Koch & family,1962,4,12
Thomas_Peterffy,Thomas Peterffy,,,
Changpeng_Zhao,Changpeng Zhao,,,
Charles_Koch,Charles Koch & family,1935,11,1
Zhong_Shanshan,Zhong Shanshan,,,
Jeff_Yass,Jeff Yass,,,
Zhang_Yiming,Zhang Yiming,1983,4,1
Ma_Huateng,Ma Huateng,1971,10,29
Gautam_Adani,Gautam Adani,1962,6,24
Masayoshi_Son,Masayoshi Son,1957,8,11
Stephen_Schwarzman,Stephen Schwarzman,1947,2,14
Ken_Griffin,Ken Griffin,,,
Dieter_Schwarz,Dieter Schwarz,1939,9,24
Tadashi_Yanai,Tadashi Yanai & family,1949,2,7
Robin_Zeng,Robin Zeng,,,
Lei_Jun,Lei Jun,1969,12,16
William_Ding,William Ding,1971,10,1
Mark_Mateschitz,Mark Mateschitz,1992,5,7
Colin_Huang,Colin Huang,1980,1,1
Jacqueline_Mars,Jacqueline Mars,1939,10,10
John_Mars,John Mars,,,
Giovanni_Ferrero,Giovanni Ferrero,1964,9,21
Li_Ka-shing,Li Ka-shing,1928,7,29
Eduardo_Saverin,Eduardo Saverin,1982,3,19
Lukas_Walton,Lukas Walton,1986,9,19
Reinhold_Wuerth,Reinhold Wuerth & family,1935,4,20
Savitri_Jindal,Savitri Jindal & family,1950,3,20
Rafaela_Aponte-Diamant,Rafaela Aponte-Diamant,1945,3,26
Gianluigi_Aponte,Gianluigi Aponte,1940,6,27
Klaus-Michael_Kuehne,Klaus-Michael Kuehne,1937,6,2
Gerard_Wertheimer,Gerard Wertheimer,1951,4,17
Alain_Wertheimer,Alain Wertheimer,1948,9,28
Germán_Larrea_Mota-Velasco,Germán Larrea Mota Velasco & family,,,
Andrea_Pignataro,Andrea Pignataro,1970,6,10
Miriam_Adelson,Miriam Adelson & family,1945,10,10
Abigail_Johnson,Abigail Johnson,1961,12,19
Phil_Knight,Phil Knight & family,1938,2,24
MacKenzie_Scott,MacKenzie Scott,1970,4,7
Prajogo_Pangestu,Prajogo Pangestu,1944,5,13
Thomas_Frost_(Radical),Thomas Frist Jr & family,,,
Marilyn_Simons,Marilyn Simons & family,1938,4,25
Shiv_Nadar,Shiv Nadar,1945,7,14
Iris_Fontbona,Iris Fontbona & family,1944,10,2
Eyal_Ofer,Eyal Ofer,1950,6,2
Elaine_Marshall,Elaine Marshall & family,1945,11,18
Len_Blavatnik,Len Blavatnik,1957,6,14
Gina_Rinehart,Gina Rinehart,1954,2,9
He_Xiangjian,He Xiangjian & family,1942,10,5
Melinda_French_Gates,Melinda French Gates,1964,8,15
Emmanuel_Besnier,Emmanuel Besnier,1970,9,18
Vagit_Alekperov,Vagit Alekperov,1950,9,1
Jack_Ma,Jack Ma,1964,9,10
Idan_Ofer,Idan Ofer,1955,10,2
Alexey_Mordashov,Alexey Mordashov & family,1965,9,26
Leonid_Mikhelson,Leonid Mikhelson & family,1955,8,11
Susanne_Klatten,Susanne Klatten,1962,4,28
Henry_Samueli,Henry Samueli,1954,9,20
Andreas_von_Bechtolsheim,Andreas von Bechtolsheim & family,1955,9,30
Lyndal_Stephens_Greth,Lyndal Stephens Greth & family,,,
Eric_Schmidt,Eric Schmidt,1955,4,27
Stefan_Quandt,Stefan Quandt,1966,5,9
Vladimir_Lisin,Vladimir Lisin,1956,5,7
Daniel_Gilbert,Daniel Gilbert,,,
Wang_Ning,Wang Ning & family,,,
Low_Tuck_Kwong,Low Tuck Kwong,,,
Chen_Tianshi,Chen Tianshi,,,
Wang_Chuanfu,Wang Chuanfu,1966,4,8
Rupert_Murdoch,Rupert Murdoch & family,1931,3,11
Aliko_Dangote,Aliko Dangote,1957,4,10
Vladimir_Potanin,Vladimir Potanin,1961,1,3
Robert_Pera,Robert Pera,1978,3,10
Dilip_Shanghvi,Dilip Shanghvi,1955,10,1
Peter_Thiel,Peter Thiel,1967,10,11
David_Tepper,David Tepper,1957,9,11
Cyrus_Poonawalla,Cyrus Poonawalla,1941,5,11
Gennady_Timchenko,Gennady Timchenko,1952,11,9
"Zheng_Shuang_(actress,_born_1991)",Zheng Shuliang & family,1991,8,22
