forbes_name,clean_name,education
Elon Musk,Elon Musk,"University of Pennsylvania ( BA , BS )"
Larry Ellison,Larry Ellison,"University of Illinois, Urbana-Champaign (no degree) University of Chicago (no degree)"
Mark Zuckerberg,Mark Zuckerberg,Harvard University (dropped out)
Jeff Bezos,Jeff Bezos,Princeton University ( BSE )
Larry Page,Larry Page,University of Michigan ( BSE ) Stanford University ( MS )
Sergey Brin,Sergey Brin,"University of Maryland, College Park ( BS ) Stanford University ( MS )"
Bernard Arnault & family,Bernard Arnault,École polytechnique
Steve Ballmer,Steve Ballmer,Harvard University ( BA ) Stanford University (dropped out)
Warren Buffett,Warren Buffett,University of Pennsylvania University of Nebraska ( BS ) Columbia University ( MS )
Jensen Huang,Jensen Huang,Oregon State University ( BS ) Stanford University ( MS )
Michael Dell,Michael Dell,University of Texas at Austin (dropped out)
Rob Walton & family,Rob Walton,University of Arkansas ( BS ) Columbia University ( JD )
Jim Walton & family,Jim Walton,University of Arkansas ( BS )
Amancio Ortega,Amancio Ortega,
Michael Bloomberg,Michael Bloomberg,Johns Hopkins University ( BS ) Harvard University ( MBA )
Alice Walton,Alice Walton,Trinity University ( BA )
Bill Gates,Bill Gates,Harvard University (dropped out)
Mukesh Ambani,Mukesh Ambani,"St. Xavier's College, Mumbai Institute of Chemical Technology (B.E.)"
Carlos Slim Helu & family,Carlos Slim Helu,National Autonomous University of Mexico ( BS )
Francoise Bettencourt Meyers & family,Francoise Bettencourt Meyers,
Julia Koch & family,Julia Koch,University of Central Arkansas
Thomas Peterffy,Thomas Peterffy,New York University (dropped out)
Changpeng Zhao,Changpeng Zhao,McGill University ( BSc. )
Charles Koch & family,Charles Koch,"Massachusetts Institute of Technology ( BS , MS )"
Zhong Shanshan,Zhong Shanshan,
Jeff Yass,Jeff Yass,Binghamton University ( BA ) New York University
Zhang Yiming,Zhang Yiming,Nankai University ( BEng )
Ma Huateng,Ma Huateng,Shenzhen University ( BS )
Gautam Adani,Gautam Adani,"Sheth Chimanlal Nagindas Vidyalaya [ 1 ] (dropped out, 1978) [ 2 ]"
Masayoshi Son,Masayoshi Son,"University of California, Berkeley ( BA )"
Stephen Schwarzman,Stephen Schwarzman,Yale University ( BA ) Harvard University ( MBA )
Ken Griffin,Ken Griffin,
Dieter Schwarz,Dieter Schwarz,
Tadashi Yanai & family,Tadashi Yanai,Waseda University
Robin Zeng,Robin Zeng,"Shanghai Jiaotong University ( BEng ) South China University of Technology ( MSc ) Institute of Physics, Chinese Academy of Sciences ( PhD )"
Lei Jun,Lei Jun,Wuhan University (BS)
William Ding,William Ding,University of Electronic Science and Technology of China
Mark Mateschitz,Mark Mateschitz,Salzburg University of Applied Sciences
Colin Huang,Colin Huang,Zhejiang University University of Wisconsin ( MS )
Jacqueline Mars,Jacqueline Mars,Bryn Mawr College
John Mars,John Mars,
Giovanni Ferrero,Giovanni Ferrero,Lebanon Valley College
Li Ka-shing,Li Ka-shing,
Eduardo Saverin,Eduardo Saverin,Harvard University ( BA )
Lukas Walton,Lukas Walton,Colorado College
