rank,id,name,source,country,gender,age,image,current_worth,previous_worth
1,elon-musk,Elon Musk,"Tesla, SpaceX",United States,M,54,https://specials-images.forbesimg.com/imageserve/62d700cd6094d2c180f269b9/416x416.jpg?background=000000&cropX1=0&cropX2=959&cropY1=0&cropY2=959,413.1,415.6
2,larry-ellison,Larry Ellison,Oracle,United States,M,81,https://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,271.6,272.6
3,mark-zuckerberg,Mark Zuckerberg,Facebook,United States,M,41,https://specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/416x416.jpg?background=000000&cropX1=0&cropX2=4401&cropY1=0&cropY2=4401,251.8,253.0
4,jeff-bezos,Jeff Bezos,Amazon,United States,M,61,https://specials-images.forbesimg.com/imageserve/67531eb2b5f7c9e191f632d7/416x416.jpg?background=000000&cropX1=316&cropX2=1027&cropY1=125&cropY2=838,237.6,240.9
5,larry-page,Larry Page,Google,United States,M,52,https://specials-images.forbesimg.com/imageserve/5c76bcaaa7ea43100043c836/416x416.jpg?background=000000&cropX1=227&cropX2=2022&cropY1=22&cropY2=1817,177.1,178.3
6,sergey-brin,Sergey Brin,Google,United States,M,52,https://specials-images.forbesimg.com/imageserve/5c7d7c254bbe6f78090d831f/416x416.jpg?background=000000&cropX1=475&cropX2=2887&cropY1=168&cropY2=2582,164.8,165.9
7,bernard-arnault,Bernard Arnault & family,LVMH,France,M,76,https://specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212,156.9,154.5
8,steve-ballmer,Steve Ballmer,Microsoft,United States,M,69,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=553&cropX2=2940&cropY1=322&cropY2=2708,152.7,153.1
9,warren-buffett,Warren Buffett,Berkshire Hathaway,United States,M,95,https://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,149.6,150.4
10,jensen-huang,Jensen Huang,Semiconductors,United States,M,62,https://specials-images.forbesimg.com/imageserve/68750a2d250de42ce7c5301b/416x416.jpg?background=000000&cropX1=832&cropX2=2632&cropY1=152&cropY2=1951,148.5,151.4
11,michael-dell,Michael Dell,Dell Technologies,United States,M,60,https://specials-images.forbesimg.com/imageserve/615c93f9da61f2ff5b9ecf9b/416x416.jpg?background=000000&cropX1=0&cropX2=1678&cropY1=118&cropY2=1797,128.5,128.7
12,rob-walton,Rob Walton & family,Walmart,United States,M,80,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=244&cropX2=1841&cropY1=60&cropY2=1658,118.5,117.7
13,jim-walton,Jim Walton & family,Walmart,United States,M,77,https://specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951,115.8,115.0
14,amancio-ortega,Amancio Ortega,Zara,Spain,M,89,https://specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269,113.8,115.9
15,michael-bloomberg,Michael Bloomberg,Bloomberg LP,United States,M,83,https://specials-images.forbesimg.com/imageserve/5c76b4104bbe6f24ad99c35d/416x416.jpg?background=000000&cropX1=165&cropX2=5613&cropY1=321&cropY2=5769,109.4,109.4
